1:100
1,1:100
1,2:100
1,3:100
1,4:100
1,5:100
1,6:100
1,7:100
1,8:100
1,9:100
2:100
2,1:101
2,2:102
2,3:103
2,4:104
2,5:105
2,6:106
2,7:107
2,8:108
2,9:109
3:110
3,1:111
3,2:112
3,3:113
3,4:114
3,5:115
3,6:116
3,7:117
3,8:118
3,9:119
4:120
4,1:121
4,2:122
4,3:123
4,4:124
4,5:125
4,6:126
4,7:127
4,8:128
4,9:129
5:130
5,1:131
5,2:132
5,3:133
5,4:134
5,5:135
5,6:136
5,7:137
5,8:138
5,9:139
6:140
6,1:141
6,2:142
6,3:143
6,4:144
6,5:145
6,6:146
6,7:147
6,8:148
6,9:149
7:150
7,1:151
7,2:152
7,3:153
7,4:154
7,5:155
7,6:156
7,7:157
7,8:158
7,9:159
8:160
8,1:161
8,2:162
8,3:163
8,4:164
8,5:165
8,6:166
8,7:167
8,8:168
8,9:169
9:170
9,1:171
9,2:172
9,3:173
9,4:174
9,5:175
9,6:176
9,7:177
9,8:178
9,9:179
10:180
10,1:181
10,2:182
10,3:183
10,4:184
10,5:185
10,6:186
10,7:187
10,8:188
10,9:189
11:190
11,1:191
11,2:192
11,3:193
11,4:194
11,5:195
11,6:196
11,7:197
11,8:198
11,9:199
12:200
